SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
533150,GODREJ PROP ,1309.9,1327.0,1299.75,1304.2
533151,D B CORP    ,92.95,92.95,90.35,90.65
533152,MBL INFRA   ,18.25,19.7,17.2,18.75
533155,JUBL FOOD   ,3013.6,3081.55,2970.3,3019.9
533156,VASCON ENG  ,17.5,17.5,17.0,17.05
533157,SYNCOM HEAL ,3.18,3.29,3.06,3.14
533158,THANGAMAYIL ,652.0,774.7,627.55,774.7
533160,D B REALTY  ,19.7,20.3,19.35,20.3
533161,EMMBI       ,107.85,112.0,104.6,104.85
533162,HATHWAY CAB ,24.7,25.35,24.4,25.2
533163,ARSS INFRA  ,28.7,29.2,28.1,28.55
533164,TEXMO PIPES ,43.65,48.0,43.65,47.2
533166,SUNDARAMMUL ,1.42,1.56,1.42,1.53
533167,CORO ENGG   ,30.1,31.3,29.0,29.65
533168,ROSSELL IND ,121.8,123.0,118.5,119.9
533169,MAN INFRA   ,44.5,44.5,42.4,42.9
